Time,sim_label,seed,t_stop,Ts,nT,nu,ny,n,params_A_1_1,params_A_2_1,params_A_1_2,params_A_2_2,params_B_1_1,params_B_2_1,params_B_1_2,params_B_2_2,params_C_1,params_C_2,params_D_1,params_D_2,obs_1,obs_2,obs_3,epsilon,sigma_M,sigma_wp_1,sigma_wp_2,KF1_P0_1_1,KF1_P0_2_1,KF1_P0_1_2,KF1_P0_2_2,KF1_Q_1_1,KF1_Q_2_1,KF1_Q_1_2,KF1_Q_2_2,KF1_R,KF2_P0_1_1,KF2_P0_2_1,KF2_P0_1_2,KF2_P0_2_2,KF2_Q_1_1,KF2_Q_2_1,KF2_Q_1_2,KF2_Q_2_2,KF2_R,KF3_P0_1_1,KF3_P0_2_1,KF3_P0_1_2,KF3_P0_2_2,KF3_Q_1_1,KF3_Q_2_1,KF3_Q_1_2,KF3_Q_2_2,KF3_R,RMSE_x_est_1_KF1,RMSE_x_est_2_KF1,RMSE_y_est_KF1,RMSE_x_est_1_KF2,RMSE_x_est_2_KF2,RMSE_y_est_KF2,RMSE_x_est_1_KF3,RMSE_x_est_2_KF3,RMSE_y_est_KF3
08-Jun-2022 13:33:34,rod_obs_sim1_3KF_Q_02_07,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1.778e-05,0.01,1000,0,0,1000,0.01,0,0,0.1778,0.01,1000,0,0,1000,0.01,0,0,0.001778,0.01,1.1674764217153,0.505217302370948,0.35024292651459,0.405147345747655,0.261197094805981,0.121544203724296,0.371329343680062,0.231736165255421,0.111398803104019
08-Jun-2022 13:33:36,rod_obs_sim1_3KF_Q_02_08,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00031623,0.01,1000,0,0,1000,0.01,0,0,3.1623,0.01,1000,0,0,1000,0.01,0,0,0.031623,0.01,0.543368145889841,0.287264077899572,0.163010443766952,0.581934465447111,0.399475164655133,0.174580339634133,0.321510020153735,0.212341878715369,0.0964530060461205
08-Jun-2022 13:33:38,rod_obs_sim1_3KF_Q_02_09,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,3.162e-05,0.01,1000,0,0,1000,0.01,0,0,0.3162,0.01,1000,0,0,1000,0.01,0,0,0.003162,0.01,0.996502161329673,0.443033833618799,0.298950648398901,0.444117978883749,0.289045130264987,0.133235393665124,0.338672438739973,0.220535374450379,0.101601731621992
08-Jun-2022 13:33:39,rod_obs_sim1_3KF_Q_02_10,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.001,0.01,1000,0,0,1000,0.01,0,0,10,0.01,1000,0,0,1000,0.01,0,0,0.1,0.01,0.415903547279534,0.246277371613369,0.12477106418386,0.611573292614173,0.424583512379123,0.183471987784252,0.370514834428425,0.23867346610264,0.111154450328527
08-Jun-2022 13:33:41,rod_obs_sim1_3KF_Q_02_11,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,5.623e-05,0.01,1000,0,0,1000,0.01,0,0,0.5623,0.01,1000,0,0,1000,0.01,0,0,0.005623,0.01,0.852421213447608,0.391829332457213,0.255726364034283,0.484641942047882,0.320006668207165,0.145392582614365,0.317744204752987,0.212617234718845,0.0953232614258962
08-Jun-2022 13:33:42,rod_obs_sim1_3KF_Q_02_12,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.00316228,0.01,1000,0,0,1000,0.01,0,0,31.6228,0.01,1000,0,0,1000,0.01,0,0,0.316228,0.01,0.338668321979485,0.220533901742033,0.101600496593846,0.62300211627708,0.434339855532629,0.186900634883124,0.444124175284919,0.289049726003716,0.133237252585476
08-Jun-2022 13:33:44,rod_obs_sim1_3KF_Q_02_13,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,7.499e-05,0.01,1000,0,0,1000,0.01,0,0,0.7499,0.01,1000,0,0,1000,0.01,0,0,0.007499,0.01,0.789088193288896,0.369758248375129,0.236726457986669,0.50440251924967,0.335658882035843,0.1513207557749,0.311612465747056,0.209953191421465,0.0934837397241168
08-Jun-2022 13:33:46,rod_obs_sim1_3KF_Q_02_14,1,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.01,0.01,1000,0,0,1000,0.01,0,0,100,0.01,1000,0,0,1000,0.01,0,0,1,0.01,0.308309411001273,0.208225201234461,0.0924928233003819,0.626881970589367,0.43766022405466,0.18806459117681,0.523198731229262,0.350815946468042,0.156959619368779
08-Jun-2022 13:33:47,rod_obs_sim1_3KF_Q_03_01,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,1e-06,0.01,1000,0,0,1000,0.01,0,0,0.01,0.01,1000,0,0,1000,0.01,0,0,0.0001,0.01,2.37492801856519,0.95981369961898,0.712478405569556,0.300475820614973,0.205437321440343,0.0901427461844918,0.731135484564395,0.349363429688481,0.219340645369319
08-Jun-2022 13:33:49,rod_obs_sim1_3KF_Q_03_02,2,2500,0.5,5000,1,1,2,0.7,0,1,1,1,0,0,1,0.3,0,0,0,KF1,KF2,KF3,0.01,0.1,0.01,1,1000,0,0,1000,0.01,0,0,0.0001,0.01,1000,0,0,1000,0.01,0,0,1,0.01,1000,0,0,1000,0.01,0,0,0.01,0.01,0.731135484564395,0.349363429688481,0.219340645369319,0.509349741917813,0.34071831515733,0.152804922575344,0.300475820614973,0.205437321440343,0.0901427461844918
