k,t,U_1,U_2,V,W_1,W_2,X_1,X_2,X_est_1,X_est_2,X_est_3,X_est_4,X_est_5,X_est_6,Y,Y_m,Y_est_1,Y_est_2,Y_est_3,E_obs_1,E_obs_2,E_obs_3,Pd,alpha
487,243.5,1,0.0107002844687436,-0.0383342750783126,0,0,-0.434039933073968,-1.1450548124811,0.634196804455899,-0.708345740420488,-1.34308569383409,-1.69435778873647,-0.586455998551603,-1.22299641908677,-0.13021197992219,-0.168546255000503,0.19025904133677,-0.402925708150227,-0.175936799565481,-0.32047102125896,0.272713728228037,0.0457248196432905,-1.1450548124811,0
488,244,1,0.0184552255608962,0.0320120774125416,-0,0,-0.448882765632878,-1.13435452801236,0.543619863478331,-0.740623351768639,-0.477521447346164,-1.04186177564327,-0.620036847896108,-1.2176132730306,-0.134664829689863,-0.102652752277322,0.163085959043499,-0.143256434203849,-0.186011054368832,-0.297750788733363,0.00859160451398591,0.0513462246789691,-1.13435452801236,0
489,244.5,1,0.000133796132399331,0.040132804318907,-0,-0,-0.448572463955371,-1.11589930245146,0.497731954074026,-0.764528826218797,-0.175689804129468,-0.928823963591377,-0.499611379512661,-1.15689651377048,-0.134571739186611,-0.0944389348677043,0.149319586222208,-0.0527069412388403,-0.149883413853798,-0.283891325408819,-0.0818647979477711,0.0153116746671869,-1.11589930245146,0
490,245,1,0.00575103431576324,-0.259313567502273,-0,0,-0.42990002722022,-1.11576550631906,0.453465038618525,-0.786456994188604,-0.257813635957893,-1.04500291654708,-0.405505626379415,-1.11651170507793,-0.128970008166066,-0.388283575668339,0.136039511585557,-0.0773440907873679,-0.121651687913824,-0.265009519751624,-0.0516259173786982,-0.00731832025224161,-1.11576550631906,0
491,245.5,1,-0.00403227547489285,-0.0441957768266976,0,-0,-0.416695525373215,-1.1100144720033,0.250439130918884,-0.833624349308512,-1.76040155688791,-1.91063670599227,-0.886645092269783,-1.31072180453617,-0.125008657611965,-0.169204434438662,0.0751317392756652,-0.528120467066373,-0.265993527680935,-0.20014039688763,0.403111809454408,0.14098487006897,-1.1100144720033,0
492,246,1,0.00180764395089091,-0.0421712250960573,-0,-0,-0.401701339764549,-1.11404674747819,0.210955476932558,-0.855604482082338,-0.371156125165065,-0.911439561457563,-0.754850795996397,-1.24022228708025,-0.120510401929365,-0.162681627025422,0.0632866430797675,-0.11134683754952,-0.226455238798919,-0.183797045009132,-0.00916356437984506,0.105944836869554,-1.11404674747819,0
493,246.5,1,-0.0165914814248657,0.0346220865006277,-0,0,-0.395237685313375,-1.1122391035273,0.171164194581594,-0.87593226451455,-0.424659129183298,-1.0543520267606,-0.652308437185907,-1.19377068074895,-0.118571305594013,-0.0839492190933848,0.0513492583744781,-0.127397738754989,-0.195692531155772,-0.169920563968491,0.00882643316097691,0.0771212255617596,-1.1122391035273,0
494,247,1,-0.0181040006948916,0.0825038379893371,-0,-0,-0.388905483246663,-1.12883058495217,0.171493715554328,-0.888103522063656,-0.137133107632196,-0.933394385324821,-0.44659072182773,-1.11237876648021,-0.116671644973999,-0.0341678069846617,0.0514481146662985,-0.0411399322896587,-0.133977216548319,-0.168119759640297,-0.0755317126843401,0.0173055715743202,-1.12883058495217,0
495,247.5,1,-0.00124137263966225,-0.00895306878210452,-0,0,-0.40106442322483,-1.14693458564706,0.186134858276765,-0.895805407940128,0.00502980511013275,-0.913984475867483,-0.242961288635067,-1.03967930235582,-0.120319326967449,-0.129272395749553,0.0558404574830295,0.00150894153303982,-0.0728883865905201,-0.176159784450478,-0.121828268500489,-0.0474309403769288,-1.14693458564706,0
496,248,1,-0.000275406696242706,-0.190721566237032,-0,-0,-0.427679681904438,-1.14817595828672,0.135447773291767,-0.912457895495864,-0.556055727351548,-1.27807057649242,-0.31258455923137,-1.08074844873156,-0.128303904571331,-0.319025470808364,0.04063433198753,-0.166816718205464,-0.093775367769411,-0.168938236558861,0.038512813634133,-0.0345285368019204,-1.14817595828672,0
497,248.5,1,0.0268215792304608,0.153046152350249,-0,0,-0.447551735619826,-1.14845136498296,-0.0100738013397735,-0.944812377023043,-1.41867650515085,-1.70180910346918,-0.710365577885371,-1.24481676510057,-0.134265520685948,0.0187806316643011,-0.00302214040193205,-0.425602951545254,-0.213109673365611,-0.131243380284016,0.291337430859306,0.0788441526796633,-1.14845136498296,0
